declarationType,incidentType,disasterName,disasterNumber,incidentBeginDate,incidentEndDate,stateCode,stateName
Major Disaster,Severe Storm(s),SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,4271,2016-04-15,2016-04-16,MT,Montana                       
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4248,2015-12-23,2015-12-28,MS,Mississippi                   
Major Disaster,Flood,SEVERE STORMS AND FLOODING,4289,2016-09-21,2016-10-03,IA,Iowa                          
Major Disaster,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,4247,2015-11-27,2015-11-29,OK,Oklahoma                      
Major Disaster,Flood,"SEVERE STORMS, FLOODING, AND MUDSLIDES",4288,2016-09-21,2016-09-22,WI,Wisconsin                     
Major Disaster,Snow,SEVERE WINTER STORM AND SNOWSTORM,4267,2016-01-22,2016-01-23,PA,Pennsylvania                  
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4245,2015-10-22,2015-10-31,TX,Texas                         
Emergency,Hurricane,HURRICANE MATTHEW,3380,2016-10-04,2016-10-24,NC,North Carolina                
Major Disaster,Snow,SEVERE WINTER STORM AND SNOWSTORM,4261,2016-01-22,2016-01-23,MD,Maryland                      
Major Disaster,Fire,VALLEY FIRE AND BUTTE FIRE,4240,2015-09-09,2015-10-30,CA,California                    
Major Disaster,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4282,2016-09-11,2016-09-14,HI,Hawaii                        
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,4259,2015-12-22,2016-01-13,GA,Georgia                       
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDE",4239,2015-07-11,2015-07-20,KY,Kentucky                      
Emergency,Hurricane,HURRICANE MATTHEW,3377,2016-10-03,2016-10-19,FL,Florida                       
Major Disaster,Severe Storm(s),SEVERE STORM,4257,2015-12-12,2015-12-15,AK,Alaska                        
Major Disaster,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4297,2017-01-21,2017-01-22,GA,Georgia                       
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,4276,2016-07-11,2016-07-12,WI,Wisconsin                     
Major Disaster,Severe Storm(s),SEVERE WINTER STORMS,4252,2015-12-16,2015-12-27,ID,Idaho                         
Major Disaster,Severe Storm(s),SEVERE WINTER STORM AND FLOODING,4296,2016-12-14,2016-12-17,OR,Oregon                        
Major Disaster,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4273,2016-06-22,2016-06-29,WV,West Virginia                 
Major Disaster,Flood,SEVERE STORMS AND FLOODING,4268,2016-03-09,2016-03-29,MS,Mississippi                   
Major Disaster,Severe Storm(s),SEVERE STORM AND STRAIGHT-LINE WIND,4246,2015-11-17,2015-11-17,ID,Idaho                         
Major Disaster,Hurricane,HURRICANE MATTHEW,4291,2016-10-07,2016-10-15,VA,Virginia                      
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4270,2016-03-08,2016-03-13,AR,Arkansas                      
Emergency,Flood,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",3374,2015-12-22,2016-01-09,MO,Missouri                      
Emergency,Toxic Substances,CONTAMINATED WATER,3375,2014-04-25,2016-08-14,MI,Michigan                      
Major Disaster,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4295,2017-01-20,2017-01-21,MS,Mississippi                   
Major Disaster,Tornado,TORNADO,4275,2016-06-11,2016-06-11,MT,Montana                       
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4251,2015-12-23,2015-12-31,AL,Alabama                       
Emergency,Flood,FLOODING,3376,2015-12-28,2016-02-01,LA,Louisiana                     
Major Disaster,Severe Storm(s),"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",4301,2017-01-03,2017-01-12,CA,California                    
Major Disaster,Hurricane,HURRICANE HERMINE,4280,2016-08-31,2016-09-11,FL,Florida                       
Major Disaster,Severe Storm(s),"SEVERE WINTER STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4255,2016-12-26,2016-01-21,TX,Texas                         
Major Disaster,Flood,SEVERE STORMS AND FLOODING,4263,2016-03-08,2016-04-08,LA,Louisiana                     
Major Disaster,Flood,SEVERE STORMS AND FLOODING,4241,2015-10-01,2015-10-23,SC,South Carolina                
Major Disaster,Hurricane,HURRICANE MATTHEW,4286,2016-10-04,2016-10-30,SC,South Carolina                
Major Disaster,Snow,SEVERE WINTER STORM AND SNOWSTORM,4265,2016-01-22,2016-01-23,DE,Delaware                      
Major Disaster,Fire,WILDFIRES AND MUDSLIDES,4243,2015-08-09,2015-09-10,WA,Washington                    
Major Disaster,Severe Storm(s),"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4258,2015-12-06,2015-12-23,OR,Oregon                        
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4238,2015-05-15,2015-07-27,MO,Missouri                      
Emergency,Hurricane,HURRICANE MATTHEW,3379,2016-10-04,2016-10-15,GA,Georgia                       
Major Disaster,Snow,SNOWSTORM,4260,2016-01-22,2016-01-23,DC,District of Columbia          
Emergency,Fire,WILDFIRES,3372,2015-08-13,2015-09-10,WA,Washington                    
Major Disaster,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4237,2015-05-08,2015-05-29,SD,South Dakota                  
Major Disaster,Flood,"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",4217,2015-04-02,2015-04-17,KY,Kentucky                      
Major Disaster,Severe Storm(s),SEVERE STORM AND FLOODING,4232,2015-06-09,2015-06-09,VT,Vermont                       
Major Disaster,Flood,SEVERE STORMS AND FLOODING,4227,2015-05-24,2015-06-06,WY,Wyoming                       
Major Disaster,Flood,"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",4229,2015-05-04,2015-06-16,CO,Colorado                      
Major Disaster,Typhoon,TYPHOON DOLPHIN,4224,2015-05-13,2015-05-16,GU,Guam                          
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4222,2015-05-05,2015-06-22,OK,Oklahoma                      
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4234,2015-06-20,2015-06-25,IA,Iowa                          
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4219,2015-04-03,2015-04-05,WV,West Virginia                 
Major Disaster,Severe Storm(s),SEVERE WINTER STORM,4207,2014-12-09,2014-12-12,VT,Vermont                       
Emergency,Fire,WILDFIRES,3371,2014-07-09,2014-08-05,WA,Washington                    
Major Disaster,Snow,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING",4204,2014-11-17,2014-11-26,NY,New York                      
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,4180,2014-05-13,2014-05-22,NY,New York                      
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4226,2015-05-07,2015-06-15,AR,Arkansas                      
Major Disaster,Volcano,PU'U O'O VOLCANIC ERUPTION AND LAVA FLOW,4201,2014-09-04,2015-03-25,HI,Hawaii                        
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4177,2014-04-28,2014-05-06,FL,Florida                       
Major Disaster,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4220,2015-04-08,2015-04-11,WV,West Virginia                 
Major Disaster,Flood,SEVERE STORMS AND FLOODING,4195,2014-08-11,2014-08-13,MI,Michigan                      
Major Disaster,Severe Ice Storm,SEVERE WINTER STORM,4171,2014-03-02,2014-03-04,TN,Tennessee                     
Major Disaster,Severe Storm(s),SEVERE WINTER STORM AND SNOWSTORM,4213,2015-01-26,2015-01-28,CT,Connecticut                   
Major Disaster,Fire,WILDFIRES,4188,2014-07-09,2014-08-05,WA,Washington                    
Major Disaster,Flood,SEVERE STORMS AND FLOODING,4202,2014-09-07,2014-09-09,NV,Nevada                        
Major Disaster,Flood,SEVERE STORMS AND FLOODING,4178,2014-04-15,2014-04-18,VT,Vermont                       
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,4199,2014-09-15,2014-09-26,NM,New Mexico                    
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",4175,2014-04-28,2014-05-03,MS,Mississippi                   
Major Disaster,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4221,2015-04-13,2015-04-15,WV,West Virginia                 
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4196,2014-08-18,2014-08-23,KY,Kentucky                      
Major Disaster,Flood,ICE JAMS AND FLOODING,4172,2014-03-01,2014-03-16,MT,Montana                       
Major Disaster,Severe Ice Storm,SEVERE WINTER STORM ,4215,2015-02-15,2015-02-17,GA,Georgia                       
Major Disaster,Flood,SEVERE STORMS AND FLOODING,4190,2014-06-25,2014-07-01,ND,North Dakota                  
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4233,2015-06-17,2015-06-24,SD,South Dakota                  
Major Disaster,Snow,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING",4208,2015-01-26,2015-01-28,ME,Maine                         
Major Disaster,Flood,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4184,2014-06-14,2014-06-23,IA,Iowa                          
Major Disaster,Severe Storm(s),TROPICAL STORM HALONG,4191,2014-07-28,2014-07-31,GU,Guam                          
Major Disaster,Severe Storm(s),"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING",4214,2015-01-26,2015-01-28,MA,Massachusetts                 
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4189,2014-06-05,2014-06-10,TN,Tennessee                     
Major Disaster,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4236,2015-07-10,2015-07-14,WV,West Virginia                 
Major Disaster,Severe Ice Storm,SEVERE WINTER STORM AND FLOODING,4211,2015-02-15,2015-02-22,TN,Tennessee                     
Major Disaster,Flood,"SEVERE STORMS, TORNADOES, AND FLOODING",4186,2014-06-13,2014-06-20,SD,South Dakota                  
